Program	query	reference	algorithm	elapsedTime	userTime	systemTime	maxResidentMemory	CPU
alnSeqO3	ramKiller	large	water	132.43	132.33	0.09	1372576	99%
alnSeqO2	ramKiller	large	needle	91.72	91.57	0.13	1372624	99%
alnSeqO2	ramKiller	large	water	128.14	128.03	0.09	1372640	99%
alnSeqO0	ramKiller	large	needle	163.53	162.76	0.75	1372664	99%
alnSeqO0	ramKiller	large	water	216.11	215.19	0.83	1372684	99%
bio-align	ramKiller	large	hb	0.22	0.22	0.00	1768	100%
ssw_test	ramKiller	large	water	3.34	3.30	0.03	333180	100%
alnSeqOFast	ramKiller	large	needle	86.03	85.91	0.11	1372556	99%
alnSeqOFast	ramKiller	large	water	136.25	136.11	0.13	1372588	99%
alnSeqO3	ramKiller	large	needle	93.78	93.62	0.15	1372556	99%
alnSeqO3	ramKiller	large	water	140.32	140.15	0.13	1372584	99%
alnSeqO2	ramKiller	large	needle	98.39	98.24	0.12	1372560	99%
alnSeqO2	ramKiller	large	water	133.61	133.48	0.11	1372468	99%
alnSeqO0	ramKiller	large	needle	169.15	168.27	0.84	1372664	99%
alnSeqO0	ramKiller	large	water	229.04	228.04	0.95	1372716	99%
bio-align	ramKiller	large	hb	0.27	0.27	0.00	1868	100%
ssw_test	ramKiller	large	water	3.66	3.64	0.02	334752	99%
alnSeqOFast	ramKiller	large	needle	94.15	93.93	0.21	1372624	99%
alnSeqOFast	ramKiller	large	water	145.01	144.53	0.45	1372392	99%
alnSeqO3	ramKiller	large	needle	93.39	93.21	0.16	1372556	99%
alnSeqO3	ramKiller	large	water	136.98	136.82	0.14	1372388	99%
alnSeqO2	ramKiller	large	needle	97.26	97.02	0.22	1372628	99%
alnSeqO2	ramKiller	large	water	133.29	133.17	0.11	1372392	99%
alnSeqO0	ramKiller	large	needle	172.65	171.61	1.00	1372704	99%
alnSeqO0	ramKiller	large	water	222.70	221.72	0.93	1372680	99%
bio-align	ramKiller	large	hb	0.22	0.21	0.00	1796	99%
ssw_test	ramKiller	large	water	3.40	3.37	0.03	333924	99%
alnSeqOFast	ramKiller	ramKiller	needle	650.98	650.10	0.82	9768200	99%
alnSeqOFast	ramKiller	ramKiller	water	844.65	843.92	0.66	9768260	99%
alnSeqO3	ramKiller	ramKiller	needle	666.12	665.36	0.72	9768196	99%
alnSeqO3	ramKiller	ramKiller	water	850.58	849.90	0.65	9768336	99%
alnSeqO2	ramKiller	ramKiller	needle	656.36	655.57	0.76	9768392	99%
alnSeqO2	ramKiller	ramKiller	water	813.13	812.42	0.69	9768336	99%
alnSeqO0	ramKiller	ramKiller	needle	1160.92	1155.85	4.94	9768360	99%
alnSeqO0	ramKiller	ramKiller	water	1415.00	1409.62	5.14	9768376	99%
bio-align	ramKiller	ramKiller	hb	1.56	1.55	0.00	2976	100%
ssw_test	ramKiller	ramKiller	water	11.68	11.67	0.00	7760	100%
alnSeqOFast	ramKiller	ramKiller	needle	631.29	630.69	0.59	9768196	99%
alnSeqOFast	ramKiller	ramKiller	water	843.31	842.49	0.75	9768224	99%
alnSeqO3	ramKiller	ramKiller	needle	665.14	664.33	0.78	9768200	99%
alnSeqO3	ramKiller	ramKiller	water	850.56	849.80	0.73	9768220	99%
alnSeqO2	ramKiller	ramKiller	needle	656.61	655.88	0.68	9768200	99%
alnSeqO2	ramKiller	ramKiller	water	814.40	813.34	0.96	9768228	99%
alnSeqO0	ramKiller	ramKiller	needle	1163.41	1157.98	5.24	9768360	99%
alnSeqO0	ramKiller	ramKiller	water	1413.49	1408.26	5.00	9768420	99%
bio-align	ramKiller	ramKiller	hb	1.55	1.55	0.00	2896	100%
ssw_test	ramKiller	ramKiller	water	11.35	11.33	0.01	9600	99%
alnSeqOFast	ramKiller	ramKiller	needle	632.95	631.97	0.87	9768196	99%
alnSeqOFast	ramKiller	ramKiller	water	844.36	843.53	0.77	9768360	99%
alnSeqO3	ramKiller	ramKiller	needle	665.84	664.79	0.92	9768196	99%
alnSeqO3	ramKiller	ramKiller	water	851.92	851.24	0.65	9768224	99%
alnSeqO2	ramKiller	ramKiller	needle	656.91	656.14	0.73	9768392	99%
alnSeqO2	ramKiller	ramKiller	water	813.52	812.74	0.74	9768228	99%
alnSeqO0	ramKiller	ramKiller	needle	1161.90	1156.80	4.96	9768360	99%
alnSeqO0	ramKiller	ramKiller	water	1412.71	1407.58	4.90	9768380	99%
bio-align	ramKiller	ramKiller	hb	1.55	1.55	0.00	2948	100%
ssw_test	ramKiller	ramKiller	water	11.72	11.72	0.00	7764	100%
alnSeqOFast	ramKiller	ramKiller	needle	631.23	630.62	0.59	9768200	99%
alnSeqOFast	ramKiller	ramKiller	water	844.27	843.51	0.71	9768228	99%
alnSeqO3	ramKiller	ramKiller	needle	665.21	664.33	0.78	9768200	99%
alnSeqO3	ramKiller	ramKiller	water	851.33	850.56	0.74	9768224	99%
alnSeqO2	ramKiller	ramKiller	needle	657.05	656.27	0.73	9768200	99%
alnSeqO2	ramKiller	ramKiller	water	814.99	814.11	0.81	9768212	99%
alnSeqO0	ramKiller	ramKiller	needle	1160.85	1155.80	4.90	9768360	99%
alnSeqO0	ramKiller	ramKiller	water	1413.72	1408.45	5.04	9768376	99%
bio-align	ramKiller	ramKiller	hb	1.55	1.55	0.00	2976	100%
ssw_test	ramKiller	ramKiller	water	11.48	11.47	0.00	7748	100%
